,Excitement,Happy,Pleasant,Surprise,Fear,Angry,max_value,clean_text,created_at,label
16,0,0,0,0,0,1,1,trying to force voting during a plague so they can fraudulently coronate extend voting…,Sun Mar 15 02:45:24 +0000 2020,Angry
24,0,0,0,0,0,1,1,"If true, they don’t know what an emergency is …",Sun Mar 15 02:45:45 +0000 2020,Angry
156,0,0,0,0,0,1,1,why cant i play super smash bros for wii u on my wiiiiii!,Sun Mar 15 02:53:27 +0000 2020,Angry
266,0,0,0,0,0,1,1,It's a Boy! Annoyed • • • • • …,Sun Mar 15 02:59:32 +0000 2020,Angry
416,0,0,0,0,0,1,1,": Welp finally hit masters, took hella long because I have no team but we did it https://…",Sun Mar 15 03:06:59 +0000 2020,Angry
425,0,0,0,0,0,1,1,This has been here a lot longer than we think.,Sun Mar 15 03:07:42 +0000 2020,Angry
433,0,0,0,0,0,1,1,: Things you love to see. it. …,Sun Mar 15 03:08:24 +0000 2020,Angry
510,0,0,0,0,0,1,1,This guy is full of ...,Sun Mar 15 03:12:51 +0000 2020,Angry
569,0,0,0,0,0,1,1,that's is the shyt you wrap your fish with at the wuhan market.,Sun Mar 15 03:16:11 +0000 2020,Angry
602,0,0,0,0,0,1,1,: Love getting my cock covered in shit,Sun Mar 15 03:18:19 +0000 2020,Angry
659,0,0,0,0,0,1,1,you probably really jizzed in your pants in the music video huh,Sun Mar 15 03:21:19 +0000 2020,Angry
662,0,0,0,0,0,1,1,The current is,Sun Mar 15 03:21:28 +0000 2020,Angry
1086,0,0,0,0,0,1,1,: jus working on my poses,Sun Mar 15 03:47:44 +0000 2020,Angry
1099,0,0,0,0,0,1,1,This curtain was built to reduce the amount of floating into by up to % …,Sun Mar 15 03:48:22 +0000 2020,Angry
1200,0,0,0,0,0,1,1,boyfriend just gave me a DS how do i put the card innnnnnnn?,Sun Mar 15 03:53:26 +0000 2020,Angry
1213,0,0,0,0,0,1,1,",...I thought the was supposed to hit the fan 🧐🧐",Sun Mar 15 03:54:03 +0000 2020,Angry
1322,0,0,0,0,0,1,1,: Joyangeles girl again. This time pulls panties to one side and shits on the floor. I really want to bang her! …,Sun Mar 15 04:00:44 +0000 2020,Angry
1352,0,0,0,0,0,1,1,: You don't have to don't you be Joy comes in the morning troubles they don't last always There's a friend in…,Sun Mar 15 04:01:13 +0000 2020,Angry
1378,0,0,0,0,0,1,1,"Because we give a shit right now. What an ,",Sun Mar 15 04:02:48 +0000 2020,Angry
1382,0,0,0,0,0,1,1,From true this means a lot to me as you were or ://,Sun Mar 15 04:02:57 +0000 2020,Angry
1464,0,0,0,0,0,1,1,Are you deliberately being full of !? Usa has almost critical care beds per cap…,Sun Mar 15 04:07:42 +0000 2020,Angry
1468,0,0,0,0,0,1,1,both of u.... on both of u... Iska mtlb clr h tum no b -5 k sath...... Beep,Sun Mar 15 04:07:54 +0000 2020,Angry
1473,0,0,0,0,0,1,1,This song is my ultimate RIGHT NOW! …,Sun Mar 15 04:08:12 +0000 2020,Angry
1517,0,0,0,0,0,1,1,Are you existing in world only to contribute latrine.,Sun Mar 15 04:11:37 +0000 2020,Angry
1691,0,0,0,0,0,1,1,: Have you even been angry and wanted to react? …,Sun Mar 15 04:22:01 +0000 2020,Angry
1803,0,0,0,0,0,1,1,: I Can't Hold It Anymore - Me some on a tupperware after holdin…,Sun Mar 15 04:28:35 +0000 2020,Angry
1906,0,0,0,0,0,1,1,"Might be trash, but amazing!",Sun Mar 15 04:35:14 +0000 2020,Angry
1994,0,0,0,0,0,1,1,My bills better put on lock down too!,Sun Mar 15 04:40:02 +0000 2020,Angry
2061,0,0,0,0,0,1,1,Incredible drummer in Amsterdam © rave techno Dario Rossi Drummer via,Sun Mar 15 04:44:10 +0000 2020,Angry
2100,0,0,0,0,0,1,1,No champions league No la liga No serie A Life has never been a shit like this before!!! Yar,Sun Mar 15 04:45:44 +0000 2020,Angry
2125,0,0,0,0,0,1,1,Ew. Why are some men like that?,Sun Mar 15 04:47:22 +0000 2020,Angry
2138,0,0,0,0,0,1,1,: We Are The Others &amp; We Reign!!! 🆕 Lie To Me &amp; Tell Me This Shit Don't Song Good As A Motherfucker!!! https:…,Sun Mar 15 04:48:16 +0000 2020,Angry
2143,0,0,0,0,0,1,1,This may gone unnoticed. Painting by me. I call it,Sun Mar 15 04:48:35 +0000 2020,Angry
2205,0,0,0,0,0,1,1,Colin has the hiccups right now and I’m but I also so it’s okay,Sun Mar 15 04:52:10 +0000 2020,Angry
2265,0,0,0,0,0,1,1,": I’m so glad my parents didn’t raise an entitled, self absorbed, materialistic swine of a person. 🥰️ …",Sun Mar 15 04:56:15 +0000 2020,Angry
2268,0,0,0,0,0,1,1,Doctors,Sun Mar 15 04:56:41 +0000 2020,Angry
2300,0,0,0,0,0,1,1,Who the fuck does this? A ? ? ? ? ?,Sun Mar 15 04:58:43 +0000 2020,Angry
2354,0,0,0,0,0,1,1,Please let her go! Stop fighting for something when the other person is clearly not going to reciprocate smh,Sun Mar 15 05:02:12 +0000 2020,Angry
2370,0,0,0,0,0,1,1,But you supported . you can look nice and helpful but many of us know you’re .,Sun Mar 15 05:03:04 +0000 2020,Angry
2437,0,0,0,0,0,1,1,Here we go again with this trash paper. OK ... maybe it’s time for new editors.,Sun Mar 15 05:06:07 +0000 2020,Angry
2729,0,0,0,0,0,1,1,"To kick this criminal out 's presidency would be considered a cue d'etat, or and heroic…",Sun Mar 15 05:24:03 +0000 2020,Angry
2815,0,0,0,0,0,1,1,: new shit GO!! we turnt,Sun Mar 15 05:30:20 +0000 2020,Angry
2835,0,0,0,0,0,1,1,": To kick this criminal out 's presidency would be considered a cue d'etat, or and heroic de…",Sun Mar 15 05:31:49 +0000 2020,Angry
2923,0,0,0,0,0,1,1,Go! App Apes Review.,Sun Mar 15 05:39:47 +0000 2020,Angry
2981,0,0,0,0,0,1,1,: ️️️And how was your Christmas dinner?️️️,Sun Mar 15 05:44:12 +0000 2020,Angry
3027,0,0,0,0,0,1,1,The latest Hi-Tech Times! Thanks to,Sun Mar 15 05:47:29 +0000 2020,Angry
3313,0,0,0,0,0,1,1,I just watched the &amp; that is !!!!!!!!,Sun Mar 15 06:12:39 +0000 2020,Angry
3439,0,0,0,0,0,1,1,": To kick this criminal out 's presidency would be considered a cue d'etat, or and heroic de…",Sun Mar 15 06:23:48 +0000 2020,Angry
3455,0,0,0,0,0,1,1,is so horny...,Sun Mar 15 06:25:04 +0000 2020,Angry
3485,0,0,0,0,0,1,1,": To kick this criminal out 's presidency would be considered a cue d'etat, or and heroic de…",Sun Mar 15 06:28:14 +0000 2020,Angry
3538,0,0,0,0,0,1,1,These are the people that spoil the game for me,Sun Mar 15 06:33:16 +0000 2020,Angry
3546,0,0,0,0,0,1,1,": To kick this criminal out 's presidency would be considered a cue d'etat, or and heroic de…",Sun Mar 15 06:34:29 +0000 2020,Angry
3616,0,0,0,0,0,1,1,most =,Sun Mar 15 06:40:47 +0000 2020,Angry
3681,0,0,0,0,0,1,1,: Do you like ? …,Sun Mar 15 06:45:35 +0000 2020,Angry
3686,0,0,0,0,0,1,1,Damn... . . Making videos... . . . …,Sun Mar 15 06:46:07 +0000 2020,Angry
3698,0,0,0,0,0,1,1,: Do you like ? …,Sun Mar 15 06:46:55 +0000 2020,Angry
3700,0,0,0,0,0,1,1,": To kick this criminal out 's presidency would be considered a cue d'etat, or and heroic de…",Sun Mar 15 06:47:18 +0000 2020,Angry
3710,0,0,0,0,0,1,1,: Do you like ? …,Sun Mar 15 06:48:13 +0000 2020,Angry
3738,0,0,0,0,0,1,1,: Do you like ? …,Sun Mar 15 06:51:27 +0000 2020,Angry
3757,0,0,0,0,0,1,1,": To kick this criminal out 's presidency would be considered a cue d'etat, or and heroic de…",Sun Mar 15 06:52:54 +0000 2020,Angry
3773,0,0,0,0,0,1,1,Four Waste Products That Shouldn't Be On The Curb,Sun Mar 15 06:54:06 +0000 2020,Angry
3820,0,0,0,0,0,1,1,privacy policies are and their for &amp; is even worst. Once again somebody t…,Sun Mar 15 06:58:18 +0000 2020,Angry
3834,0,0,0,0,0,1,1,"Gonna feed you shit, my happy toilet🥰 Oh, how I like it, the ass oozes liqu…",Sun Mar 15 06:59:22 +0000 2020,Angry
3843,0,0,0,0,0,1,1,: MOUTHWATERING! …,Sun Mar 15 06:59:51 +0000 2020,Angry
3895,0,0,0,0,0,1,1,": Gonna feed you shit, my happy toilet🥰 Oh, how I like it, the ass oozes liquid…",Sun Mar 15 07:02:52 +0000 2020,Angry
3905,0,0,0,0,0,1,1,": TIP _ D customer now has an ( &amp; is not eress it), which is why R now so important in …",Sun Mar 15 07:03:33 +0000 2020,Angry
3917,0,0,0,0,0,1,1,": Gonna feed you shit, my happy toilet🥰 Oh, how I like it, the ass oozes liquid…",Sun Mar 15 07:04:30 +0000 2020,Angry
3964,0,0,0,0,0,1,1,": Gonna feed you shit, my happy toilet🥰 Oh, how I like it, the ass oozes liquid…",Sun Mar 15 07:06:58 +0000 2020,Angry
3986,0,0,0,0,0,1,1,": Don't let people figure out something is off with you emotionally, immediately they see you.",Sun Mar 15 07:09:01 +0000 2020,Angry
4013,0,0,0,0,0,1,1,Sunday.,Sun Mar 15 07:11:41 +0000 2020,Angry
4107,0,0,0,0,0,1,1,: Make the right choice ️️,Sun Mar 15 07:18:36 +0000 2020,Angry
4109,0,0,0,0,0,2,2,These people are full of . ( people eat more and more.) 🤮🤮🤮,Sun Mar 15 07:18:38 +0000 2020,Angry
4114,0,0,0,0,0,1,1,": Eat this biggest shit you pig’s snout, toilet This is your lunch, open your m…",Sun Mar 15 07:18:53 +0000 2020,Angry
4118,0,0,0,0,0,1,1,: Prepare for shitty lunch shit receiver Today you will be the toilet for me and…,Sun Mar 15 07:19:07 +0000 2020,Angry
4135,0,0,0,0,0,1,1,: This bubble curtain was built to reduce the amount of floating into seas by up to %,Sun Mar 15 07:20:37 +0000 2020,Angry
4157,0,0,0,0,0,1,1,": To kick this criminal out 's presidency would be considered a cue d'etat, or and heroic de…",Sun Mar 15 07:21:46 +0000 2020,Angry
