,Excitement,Happy,Pleasant,Surprise,Fear,Angry,max_value,clean_text,created_at,label
1,1,0,0,0,0,0,1,: Bertha locket dog husband maybe 🧙‍️️🧙‍️ https:/…,Sun Mar 15 02:44:15 +0000 2020,Excitement
13,1,0,0,0,0,0,1,$10 Amazon …,Sun Mar 15 02:45:14 +0000 2020,Excitement
18,1,0,0,0,0,0,1,$20 Amazon,Sun Mar 15 02:45:30 +0000 2020,Excitement
81,1,0,0,0,0,0,1,: Doing work while we are off for a few weeks. …,Sun Mar 15 02:49:15 +0000 2020,Excitement
84,1,0,0,0,0,0,1,Is it weird that I only want you to use me tonight? County,Sun Mar 15 02:49:20 +0000 2020,Excitement
87,1,0,0,0,0,0,1,Rooftop pool side Thinking about life! Wynwood Walls &amp; Art District…,Sun Mar 15 02:49:43 +0000 2020,Excitement
93,1,0,0,0,0,0,1,: Doing work while we are off for a few weeks. …,Sun Mar 15 02:50:13 +0000 2020,Excitement
128,1,0,0,0,0,0,1,: Read what happens when two star crossed lovers and TWO psychopathic killers worlds collide! …,Sun Mar 15 02:51:53 +0000 2020,Excitement
129,1,0,0,0,0,0,1,: Details at:,Sun Mar 15 02:51:57 +0000 2020,Excitement
152,1,0,0,0,0,0,1,: I want to me on your fingers! ▶️,Sun Mar 15 02:53:18 +0000 2020,Excitement
153,1,0,0,0,0,0,1,Simple Passport Holder |||,Sun Mar 15 02:53:19 +0000 2020,Excitement
157,1,0,0,0,0,0,1,": Asim’s Extraordinary Journeys star Fantasy Adventure, must read. …",Sun Mar 15 02:53:34 +0000 2020,Excitement
173,1,0,0,0,0,0,1,Find that perfect piece at - In stock today: Gift IDEAS Galore …,Sun Mar 15 02:54:43 +0000 2020,Excitement
178,1,0,0,0,0,0,1,You Simply cannot the pleasures and when you your in this…,Sun Mar 15 02:55:01 +0000 2020,Excitement
188,1,0,0,0,0,0,1,Julsan Art Studio In peace surrounded by my own. …,Sun Mar 15 02:55:34 +0000 2020,Excitement
195,1,0,0,0,0,0,1,"I can’t taste my lips, could you do it for me?",Sun Mar 15 02:55:57 +0000 2020,Excitement
200,1,0,0,0,0,0,1,Completely surreal that I'm about to pay cash for a vehicle. So,Sun Mar 15 02:56:20 +0000 2020,Excitement
223,1,0,0,0,0,0,1,Adjustable Nylon Travel Straps |||,Sun Mar 15 02:57:11 +0000 2020,Excitement
226,1,0,0,0,0,0,1,I agree that passion burns me every time you are with me 🧡 Park,Sun Mar 15 02:57:20 +0000 2020,Excitement
260,1,0,0,0,0,0,1,$10 Amazon …,Sun Mar 15 02:59:11 +0000 2020,Excitement
261,1,0,0,0,0,0,1,: photographic moments...,Sun Mar 15 02:59:12 +0000 2020,Excitement
277,1,0,0,0,0,0,1,Unlimited Mini Golf,Sun Mar 15 02:59:52 +0000 2020,Excitement
289,1,0,0,0,0,0,1,$20 Amazon,Sun Mar 15 03:00:23 +0000 2020,Excitement
300,1,0,0,0,0,0,1,$50 Amazon,Sun Mar 15 03:00:54 +0000 2020,Excitement
309,1,0,0,0,0,0,1,Peter Gabriel album is the best soundtrack for a yoga or meditation indoor workout ever …,Sun Mar 15 03:01:09 +0000 2020,Excitement
312,1,0,0,0,0,0,1,The latest The India Daily! Thanks to,Sun Mar 15 03:01:19 +0000 2020,Excitement
323,1,0,0,0,0,0,1,if I can DM you some sexy nudes Falls,Sun Mar 15 03:02:06 +0000 2020,Excitement
351,1,0,0,0,0,0,1,Casual Travel Document Holder |||,Sun Mar 15 03:03:23 +0000 2020,Excitement
355,1,0,0,0,0,0,1,Stories Articles Ideas destinations worldwide Trails download the,Sun Mar 15 03:03:27 +0000 2020,Excitement
356,1,0,0,0,0,0,1,: Stories Articles Ideas destinations worldwide Trails download the https…,Sun Mar 15 03:03:32 +0000 2020,Excitement
363,1,0,0,0,0,0,1,"Another filled and suspenseful book! Order ""Real Money"" now. …",Sun Mar 15 03:04:02 +0000 2020,Excitement
383,1,0,0,0,0,0,1,Fashion Fruits Travel Tags |||,Sun Mar 15 03:05:13 +0000 2020,Excitement
393,1,0,0,0,0,0,1,Find that perfect piece at - In stock today: Gift IDEAS Galore …,Sun Mar 15 03:05:45 +0000 2020,Excitement
398,1,0,0,0,0,0,1,🇮🇳 ◆ ◆ This is KALPA!!…,Sun Mar 15 03:05:59 +0000 2020,Excitement
409,1,0,0,0,0,0,1,Hit for Hire - Adventure &amp; Thriller Giveaway,Sun Mar 15 03:06:37 +0000 2020,Excitement
448,1,0,0,0,0,0,1,"Starting the night out right! Martha Lake, Washington",Sun Mar 15 03:09:30 +0000 2020,Excitement
462,1,0,0,0,0,0,1,Waterproof Foldable Travel Bag,Sun Mar 15 03:10:18 +0000 2020,Excitement
463,1,0,0,0,0,0,1,": Different than most books, yet a story that's intimately relatable. Details at:",Sun Mar 15 03:10:21 +0000 2020,Excitement
485,1,0,0,0,0,0,1,How many countries in Africa have you visited so far?,Sun Mar 15 03:11:11 +0000 2020,Excitement
492,1,0,0,0,0,0,1,Got wayyyyyyy more music to drop 🤓,Sun Mar 15 03:11:41 +0000 2020,Excitement
507,1,0,0,0,0,0,1,Inch PC Tablet Briefcase |||,Sun Mar 15 03:12:36 +0000 2020,Excitement
509,1,0,0,0,0,0,1,Adventure Module VF1 Island of Anuxer the Aberrant Witch Doctor,Sun Mar 15 03:12:40 +0000 2020,Excitement
511,1,0,0,0,0,0,1,Baby's Animal Printed Cotton Pants,Sun Mar 15 03:12:57 +0000 2020,Excitement
517,1,0,0,0,0,0,1,": THE RIVER OF CORN “…a riveting story of , hardship, greed, and destruction of civi…",Sun Mar 15 03:13:12 +0000 2020,Excitement
530,1,0,0,0,0,0,1,: P.I. Buck McDivit deals with the theft of a priceless -yr-old relic. …,Sun Mar 15 03:14:10 +0000 2020,Excitement
542,1,0,0,0,0,0,1,The Wanderer...,Sun Mar 15 03:14:49 +0000 2020,Excitement
544,1,0,0,0,0,0,1,Happiness.... …,Sun Mar 15 03:14:53 +0000 2020,Excitement
551,1,0,0,0,0,0,1,: Waterproof Foldable Travel Bag,Sun Mar 15 03:15:12 +0000 2020,Excitement
552,1,0,0,0,0,0,1,: How many countries in Africa have you visited so far?,Sun Mar 15 03:15:15 +0000 2020,Excitement
553,1,0,0,0,0,0,1,: Adventure Module VF1 Island of Anuxer the Aberrant Witch Doctor,Sun Mar 15 03:15:21 +0000 2020,Excitement
556,1,0,0,0,0,0,1,: Baby's Animal Printed Cotton Pants,Sun Mar 15 03:15:26 +0000 2020,Excitement
557,1,0,0,0,0,0,1,: The Wanderer...,Sun Mar 15 03:15:28 +0000 2020,Excitement
601,1,0,0,0,0,0,1,$50 Amazon,Sun Mar 15 03:18:18 +0000 2020,Excitement
622,1,0,0,0,0,0,1,$50 Amazon,Sun Mar 15 03:19:45 +0000 2020,Excitement
633,1,0,0,0,0,0,1,Top Best Cheap Eats in Los Angeles,Sun Mar 15 03:20:00 +0000 2020,Excitement
641,1,0,0,0,0,0,1,Surprise March snow. …,Sun Mar 15 03:20:25 +0000 2020,Excitement
647,1,0,0,0,0,0,1,Naruto Themed Poster,Sun Mar 15 03:20:37 +0000 2020,Excitement
666,1,0,0,0,0,0,1,: The Wanderer...,Sun Mar 15 03:21:49 +0000 2020,Excitement
671,1,0,0,0,0,0,1,: Top Best Cheap Eats in Los Angeles,Sun Mar 15 03:22:02 +0000 2020,Excitement
674,1,0,0,0,0,0,1,: P.I. Buck McDivit deals with the theft of a priceless -yr-old relic. …,Sun Mar 15 03:22:09 +0000 2020,Excitement
675,1,0,0,0,0,0,1,"Collecting moments, NOT THINGS !! …",Sun Mar 15 03:22:12 +0000 2020,Excitement
676,1,0,0,0,0,0,1,Was really coming down for awhile. …,Sun Mar 15 03:22:12 +0000 2020,Excitement
679,1,0,0,0,0,0,1,"You dreamed about me tonight, and I woke up completely wet ""there"" It was cool.",Sun Mar 15 03:22:16 +0000 2020,Excitement
685,1,0,0,0,0,0,1,I love the graphics on this game New YouTube Video Out YouTube Channel: RichHunterAdventure …,Sun Mar 15 03:22:36 +0000 2020,Excitement
687,1,0,0,0,0,0,1,: I love the graphics on this game New YouTube Video Out YouTube Channel: RichHunterAdventure …,Sun Mar 15 03:22:45 +0000 2020,Excitement
721,1,0,0,0,0,0,1,Set Black Travel Sleeping Eye Mask |||,Sun Mar 15 03:24:35 +0000 2020,Excitement
727,1,0,0,0,0,0,1,Heat up your with the and of the Court! with !…,Sun Mar 15 03:25:00 +0000 2020,Excitement
736,1,0,0,0,0,0,1,Dusted. …,Sun Mar 15 03:25:23 +0000 2020,Excitement
761,1,0,0,0,0,0,1,Universal Travel Power Socket Adapter with USB |||,Sun Mar 15 03:27:30 +0000 2020,Excitement
763,1,0,0,0,0,0,1,Hey loves! Had to take a hiatus. to be back and see all those and bodies again!…,Sun Mar 15 03:27:34 +0000 2020,Excitement
780,1,0,0,0,0,0,1,…,Sun Mar 15 03:28:22 +0000 2020,Excitement
796,1,0,0,0,0,0,1,Going live with more Code Vein co-op adventures. …,Sun Mar 15 03:29:34 +0000 2020,Excitement
797,1,0,0,0,0,0,1,Colourful Portable Mini Round Hard Storage Case |||,Sun Mar 15 03:29:36 +0000 2020,Excitement
822,1,0,0,0,0,0,1,: How many countries in Africa have you visited so far?,Sun Mar 15 03:30:24 +0000 2020,Excitement
840,1,0,0,0,0,0,1,": THE RIVER OF CORN “…a riveting story of , hardship, greed, and destruction of civi…",Sun Mar 15 03:31:40 +0000 2020,Excitement
864,1,0,0,0,0,0,1,Sunrise at Machu Picchu: My Magic Moment,Sun Mar 15 03:33:02 +0000 2020,Excitement
881,1,0,0,0,0,0,1,Frosted. …,Sun Mar 15 03:34:14 +0000 2020,Excitement
884,1,0,0,0,0,0,1,from extreme and humidity will annually impact areas which are to about billion people worl…,Sun Mar 15 03:35:00 +0000 2020,Excitement
