,Excitement,Happy,Pleasant,Surprise,Fear,Angry,max_value,clean_text,created_at,label
11,0,0,0,0,1,0,1,to looking for for …,Sun Mar 15 02:45:03 +0000 2020,Fear
22,0,0,0,0,1,0,1,Sometimes just being there is enough to support someone with . You don't have to be an eert to be ther…,Sun Mar 15 02:45:39 +0000 2020,Fear
34,0,0,0,0,1,0,1,My dads pretty proud of me for getting out of the house today LOL.,Sun Mar 15 02:46:31 +0000 2020,Fear
40,0,0,0,0,1,0,1,: Pres. elect Obama in Hawaii VP elect Biden &amp; advisors scheming,Sun Mar 15 02:47:02 +0000 2020,Fear
41,0,0,0,0,1,0,1,FEAR of the unknown is better known as Mind Games..!!,Sun Mar 15 02:47:04 +0000 2020,Fear
61,0,0,0,0,1,0,1,"...This is NOT prostate cancer. There is no ""Wait and See"" option for treatment of . Reach out for t…",Sun Mar 15 02:48:09 +0000 2020,Fear
66,0,0,0,0,1,0,1,": ""Getting over your fear of dying, is the first step in getting over your fear of living."" — B. D. Schiers",Sun Mar 15 02:48:25 +0000 2020,Fear
70,0,0,0,0,1,0,1,Sharing our stories helps ! Interviews of who've dealt with a…,Sun Mar 15 02:48:39 +0000 2020,Fear
74,0,0,0,0,1,0,1,Global insight in hand site:We fear Can that uncheatable us,Sun Mar 15 02:49:03 +0000 2020,Fear
92,0,0,0,0,1,0,1,Online Therapy for overcoming . Email me to schedule a therapy session via Skype. See:,Sun Mar 15 02:50:01 +0000 2020,Fear
98,0,0,0,0,1,0,1,The are the arms of a global corporation that incubates in the ignorant population.,Sun Mar 15 02:50:23 +0000 2020,Fear
121,0,0,0,0,1,0,1,": is a greenlight for every program, every mandate , grea…",Sun Mar 15 02:51:32 +0000 2020,Fear
155,0,0,0,0,1,0,1,Worry &amp; Fear = Faith in reverse,Sun Mar 15 02:53:23 +0000 2020,Fear
205,0,0,0,0,1,0,1,: commander prosecuted in Austria for,Sun Mar 15 02:56:31 +0000 2020,Fear
210,0,0,0,0,1,0,1,: New blog online,Sun Mar 15 02:56:48 +0000 2020,Fear
230,0,0,0,0,1,0,1,The world is in a Don't stress! Just a little song about this…,Sun Mar 15 02:57:27 +0000 2020,Fear
247,0,0,0,0,2,0,2,"’s Clergy Sister ""Full Recovery” …",Sun Mar 15 02:58:22 +0000 2020,Fear
303,0,0,0,0,1,0,1,: Sharing our stories helps ! Interviews of who've dealt with and/or oth…,Sun Mar 15 03:01:01 +0000 2020,Fear
305,0,0,0,0,1,0,1,"Does anyone else just look back at life and be like, why tf am I still",Sun Mar 15 03:01:01 +0000 2020,Fear
308,0,0,0,0,1,0,1,": ...This is NOT prostate cancer. There is no ""Wait and See"" option for treatment of . Reach out for the help y…",Sun Mar 15 03:01:04 +0000 2020,Fear
324,0,0,0,0,1,0,1,How to get over the that you are not good enough - steps to follow. …,Sun Mar 15 03:02:09 +0000 2020,Fear
349,0,0,0,0,1,0,1,Reliable information can help one cope with and associated with …,Sun Mar 15 03:03:19 +0000 2020,Fear
357,0,0,0,0,1,0,1,: Sharing our stories helps ! Interviews of who've dealt with and/or oth…,Sun Mar 15 03:03:39 +0000 2020,Fear
359,0,0,0,0,1,0,1,": is a greenlight for every program, every mandate , grea…",Sun Mar 15 03:03:52 +0000 2020,Fear
368,0,0,0,0,1,0,1,Panic Attacks Articles Treatment Advice on this get it,Sun Mar 15 03:04:21 +0000 2020,Fear
408,0,0,0,0,1,0,1,"If you are looking for something to do with your dick, you can check my website!",Sun Mar 15 03:06:34 +0000 2020,Fear
456,0,0,0,0,1,0,1,to looking for for …,Sun Mar 15 03:10:02 +0000 2020,Fear
459,0,0,0,0,1,0,1,: Family movie night ... is the enemy,Sun Mar 15 03:10:12 +0000 2020,Fear
466,0,0,0,0,1,0,1,: Don't hit button yet,Sun Mar 15 03:10:26 +0000 2020,Fear
474,0,0,0,0,1,0,1,": is a greenlight for every program, every mandate , grea…",Sun Mar 15 03:10:50 +0000 2020,Fear
528,0,0,0,0,1,0,1,: A super read! Great spooky entertainment! Don't miss this! Richard Schwindt delivers! …,Sun Mar 15 03:14:03 +0000 2020,Fear
574,0,0,0,0,1,0,1,My tattoo! …,Sun Mar 15 03:16:32 +0000 2020,Fear
577,0,0,0,0,1,0,1,Can we restart this year again?,Sun Mar 15 03:16:39 +0000 2020,Fear
587,0,0,0,0,1,0,1,Have you thought about getting help?,Sun Mar 15 03:17:48 +0000 2020,Fear
599,0,0,0,0,1,0,1,Today's 's edition has stories and snippets on or related to .,Sun Mar 15 03:18:15 +0000 2020,Fear
611,0,0,0,0,1,0,1,"Is the US on the verge of another ? Not likely. Why? Because during the s depression, the…",Sun Mar 15 03:19:04 +0000 2020,Fear
617,0,0,0,0,1,0,1,I've been doing social distancing since before it was mainstream.,Sun Mar 15 03:19:28 +0000 2020,Fear
631,0,0,0,0,1,0,1,Online Therapist for Depression over Skype. Online Therapy for the treatment of &amp; …,Sun Mar 15 03:20:00 +0000 2020,Fear
636,0,0,0,0,1,0,1,Exactly this Eect a global leading to a here in the USA …,Sun Mar 15 03:20:07 +0000 2020,Fear
643,0,0,0,0,1,0,1,owners are lovin life rn!!,Sun Mar 15 03:20:27 +0000 2020,Fear
651,0,0,0,0,1,0,1,"Oh yeah, all their are . They are -influenced, li…",Sun Mar 15 03:20:48 +0000 2020,Fear
667,0,0,0,0,1,0,1,"We are concerned about , but are more concerned about the and being taken in advance…",Sun Mar 15 03:21:50 +0000 2020,Fear
672,0,0,0,0,1,0,1,: What do you bet the next big buys will be ?,Sun Mar 15 03:22:03 +0000 2020,Fear
678,0,0,0,0,1,0,1,: Sometimes just being there is enough to support someone with . You don't have to be an eert to be there... http…,Sun Mar 15 03:22:15 +0000 2020,Fear
682,0,0,0,0,1,0,1,"It's... the flu. Only, not as bad, so... ! Why? Because... Trump.",Sun Mar 15 03:22:25 +0000 2020,Fear
689,0,0,0,0,1,0,1,"Hey all! Here's a post you might have missed! ""When The Darkness Becomes Too Much.""",Sun Mar 15 03:22:49 +0000 2020,Fear
697,0,0,0,0,1,0,1,New YouTube video out please go check it out discussing,Sun Mar 15 03:23:12 +0000 2020,Fear
