,Excitement,Happy,Pleasant,Surprise,Fear,Angry,max_value,clean_text,created_at,label
192,0,1,0,0,1,0,1,"""Activate, , and resonate within the higher chakras"" casts out all",Sun Mar 15 02:55:56 +0000 2020,Happy
256,0,1,0,0,1,0,1,"""Activate, , and resonate within the higher chakras"" casts out all",Sun Mar 15 02:58:54 +0000 2020,Happy
1053,0,1,0,0,0,0,1,: Fulfill your DREAMS. TOUCH: …,Sun Mar 15 03:01:04 +0000 2020,Happy
1178,0,1,0,0,1,0,1,|•| READ BELOW |•| …,Sun Mar 15 03:01:36 +0000 2020,Happy
1509,0,1,1,0,0,0,1,": ""Learn to be , and you will always be ."" Paramahansa Yogananda …",Sun Mar 15 03:02:09 +0000 2020,Happy
1620,0,1,0,0,0,0,1,: DOES WALKING HELP IN ANXIETY AND DEPRESSION …,Sun Mar 15 03:02:13 +0000 2020,Happy
1816,0,1,0,0,1,0,1,...or ultimate leveling agent on the battle field,Sun Mar 15 03:02:15 +0000 2020,Happy
1859,0,1,0,0,1,0,1,: …,Sun Mar 15 03:02:16 +0000 2020,Happy
1935,0,1,1,0,0,0,1,": ""Learn to be , and you will always be ."" Paramahansa Yogananda …",Sun Mar 15 03:02:19 +0000 2020,Happy
2196,0,1,0,0,1,0,1,", , , , Genesis P-Orridge",Sun Mar 15 03:02:20 +0000 2020,Happy
2246,0,1,0,0,1,0,1,: …,Sun Mar 15 03:02:40 +0000 2020,Happy
2643,0,1,0,0,0,0,1,WATCH NOW: …,Sun Mar 15 03:02:42 +0000 2020,Happy
2819,0,1,0,0,0,0,1,if you feel Connected RT Now! …,Sun Mar 15 03:02:44 +0000 2020,Happy
2960,0,1,0,0,0,0,1,Manifest your dreams . . . …,Sun Mar 15 03:02:47 +0000 2020,Happy
3103,0,1,1,0,0,0,1,": ""Learn to be , and you will always be ."" Paramahansa Yogananda …",Sun Mar 15 03:03:20 +0000 2020,Happy
3509,0,1,0,0,0,0,1,Let's kick your copywriting challenge to the curb and get your ideal clients clicking! …,Sun Mar 15 03:03:30 +0000 2020,Happy
3717,0,3,0,0,0,0,3,Love …,Sun Mar 15 03:03:32 +0000 2020,Happy
3748,0,2,0,0,0,0,2,Take It …,Sun Mar 15 03:03:41 +0000 2020,Happy
3768,0,2,0,0,0,0,2,Believe …,Sun Mar 15 03:03:42 +0000 2020,Happy
3781,0,2,0,0,0,0,2,Good Day …,Sun Mar 15 03:04:02 +0000 2020,Happy
3816,0,1,0,1,0,0,1,Don’t lose them,Sun Mar 15 03:04:24 +0000 2020,Happy
3900,0,1,1,0,0,0,1,Is there a difference between happy and content? Not sure which I am right now but dam it feels good.,Sun Mar 15 03:04:28 +0000 2020,Happy
3973,0,1,1,0,0,0,1,Love always prevails!!!,Sun Mar 15 03:04:29 +0000 2020,Happy
4263,1,3,0,0,0,1,3,Wait I Know Her *1* …,Sun Mar 15 03:04:31 +0000 2020,Happy
4274,0,1,0,0,0,0,1,if you feel Connected RT Now! …,Sun Mar 15 03:04:35 +0000 2020,Happy
4291,1,3,0,0,0,1,3,Supercut …,Sun Mar 15 03:04:37 +0000 2020,Happy
4819,0,1,1,0,0,0,1,: Love always prevails!!!,Sun Mar 15 03:04:39 +0000 2020,Happy
4860,0,1,0,0,1,0,1,: …,Sun Mar 15 03:04:40 +0000 2020,Happy
4901,0,1,0,0,1,0,1,: …,Sun Mar 15 03:04:42 +0000 2020,Happy
5227,0,1,0,0,0,0,1,Checkout . . . …,Sun Mar 15 03:05:02 +0000 2020,Happy
5231,0,1,1,0,0,0,1,and RaindowDash da best or its that Rainbow Dash? ok now I'am confused...,Sun Mar 15 03:05:09 +0000 2020,Happy
5245,0,1,1,0,0,0,1,: and RaindowDash da best or its that Rainbow Dash? ok now I'am…,Sun Mar 15 03:05:12 +0000 2020,Happy
5277,1,2,0,0,0,0,2,Happy Feet! crys911 …,Sun Mar 15 03:05:15 +0000 2020,Happy
5404,0,1,0,0,1,0,1,: …,Sun Mar 15 03:05:20 +0000 2020,Happy
5490,0,1,0,0,0,0,1,Let’s all give something back now to those who really need our during this time of uncerta…,Sun Mar 15 03:05:29 +0000 2020,Happy
5592,0,1,1,0,0,0,1,": ""Learn to be , and you will always be ."" Paramahansa Yogananda …",Sun Mar 15 03:05:40 +0000 2020,Happy
5598,0,1,1,0,0,0,1,": ""Learn to be , and you will always be ."" Paramahansa Yogananda …",Sun Mar 15 03:06:12 +0000 2020,Happy
5696,0,1,0,0,1,0,1,She’s Amazing and I’m Paralyzed with Fear,Sun Mar 15 03:06:40 +0000 2020,Happy
5823,0,1,1,0,0,0,1,&amp; take your time whilst finding x …,Sun Mar 15 03:06:46 +0000 2020,Happy
6598,0,1,0,1,0,0,1,"Dear Love, Can You Please Elain? Lyrical poem. Click the link below.",Sun Mar 15 03:06:50 +0000 2020,Happy
6642,0,1,0,0,0,0,1,Bergenia For more on flowers &amp; organic gardening check here …,Sun Mar 15 03:07:19 +0000 2020,Happy
6710,0,1,0,0,0,0,1,: Bergenia For more on flowers &amp; organic gardening check here …,Sun Mar 15 03:07:24 +0000 2020,Happy
6786,0,1,0,0,0,0,1,Memories ️ Venice in January . . . . . . . …,Sun Mar 15 03:07:28 +0000 2020,Happy
6906,0,1,0,0,0,0,1,"When I finally held the trophy, it was just how I imagined it would be ️🤗 . . . …",Sun Mar 15 03:07:52 +0000 2020,Happy
7174,0,1,0,0,1,0,1,: …,Sun Mar 15 03:07:55 +0000 2020,Happy
7327,0,1,1,0,0,0,1,": ""Learn to be , and you will always be ."" Paramahansa Yogananda …",Sun Mar 15 03:08:01 +0000 2020,Happy
7358,0,1,1,0,0,0,1,": ""Learn to be , and you will always be ."" Paramahansa Yogananda …",Sun Mar 15 03:09:15 +0000 2020,Happy
7363,0,1,0,1,0,0,1,Virtual World OUT NOW Link YouTube in bio …,Sun Mar 15 03:09:41 +0000 2020,Happy
7384,0,1,0,0,0,0,1,Sorry for being inactive been a lil busy creating some content for you …,Sun Mar 15 03:10:09 +0000 2020,Happy
7856,0,1,0,0,0,0,1,if you feel Connected RT Now! …,Sun Mar 15 03:10:50 +0000 2020,Happy
8074,0,1,0,0,0,0,1,Our ones on …,Sun Mar 15 03:11:03 +0000 2020,Happy
8081,0,1,0,0,0,0,1,I love it!!! Thank you lovebeingjodie . . . . . ️ ️ 🤘 …,Sun Mar 15 03:11:25 +0000 2020,Happy
8286,0,1,0,1,0,0,1,Have u ever had that feeling that the music can´t be loud enough?,Sun Mar 15 03:13:05 +0000 2020,Happy
8394,0,1,0,1,0,0,1,Why do we exist?,Sun Mar 15 03:13:10 +0000 2020,Happy
8457,0,1,0,0,1,0,1,What do you think would happen if we regularly told others ‘You are loved’?,Sun Mar 15 03:15:47 +0000 2020,Happy
8542,0,2,0,0,0,0,2,"""NATURE INSIDE, NATURE OUTSIDE"" …",Sun Mar 15 03:16:36 +0000 2020,Happy
8606,0,1,0,1,0,0,1,Imagine sleeping in a sunflower field …,Sun Mar 15 03:17:09 +0000 2020,Happy
8616,0,1,0,1,0,0,1,Let’s skip a day.,Sun Mar 15 03:18:16 +0000 2020,Happy
8623,0,1,0,1,0,0,1,Let’s skip a week.,Sun Mar 15 03:18:33 +0000 2020,Happy
8627,0,1,0,1,0,0,1,Let’s skip a month.,Sun Mar 15 03:18:54 +0000 2020,Happy
8635,0,1,0,1,0,0,1,Let’s skip a year.,Sun Mar 15 03:19:07 +0000 2020,Happy
8942,0,2,0,0,0,0,2,You have to start SOMEWHERE …,Sun Mar 15 03:20:22 +0000 2020,Happy
9075,0,1,0,0,0,0,1,Ouch my heart is aching... ️ • London 🇬🇧 • • …,Sun Mar 15 03:20:25 +0000 2020,Happy
9248,0,1,0,0,0,0,1,"this track ""Beyond the Clouds"" by Alyas on …",Sun Mar 15 03:20:57 +0000 2020,Happy
9249,0,1,0,0,0,0,1,"this track ""Elysian - Fall To The Sky"" by AmbientMusicalGenre on …",Sun Mar 15 03:21:07 +0000 2020,Happy
9250,0,1,0,0,0,0,1,"this track ""Tired Sky"" by Endless Leopard on …",Sun Mar 15 03:22:08 +0000 2020,Happy
9251,0,1,0,0,0,0,1,"this track ""Perspective"" by Trevor Ransom on …",Sun Mar 15 03:22:58 +0000 2020,Happy
9259,1,2,0,0,0,0,2,Yup ... Choose LIFE! ...,Sun Mar 15 03:23:57 +0000 2020,Happy
9288,0,1,0,0,0,0,1,"Don't hunt down happiness... - Watch the full video and subscribe, here: - - …",Sun Mar 15 03:24:13 +0000 2020,Happy
9399,0,1,0,0,0,0,1,Do Good and share with those In Need.... . . . . . …,Sun Mar 15 03:25:42 +0000 2020,Happy
9565,0,1,0,0,0,0,1,: Good morning Twitter world Breakfast is served RT if you would love me for your breakfast H…,Sun Mar 15 03:26:03 +0000 2020,Happy
9687,0,1,0,0,0,0,1,: Omg she's beautiful https…,Sun Mar 15 03:26:24 +0000 2020,Happy
9733,0,1,0,0,0,0,1,: On this when we are all looking for remember anchors the soul,Sun Mar 15 03:27:05 +0000 2020,Happy
9856,0,1,0,0,0,0,1,Ouch. Not asking for so much this early in the morning,Sun Mar 15 03:27:28 +0000 2020,Happy
10229,0,2,0,0,0,0,2,: comes back to you. RT,Sun Mar 15 03:28:27 +0000 2020,Happy
