,Excitement,Happy,Pleasant,Surprise,Fear,Angry,max_value,clean_text,created_at,label
5,0,0,1,0,0,0,1,: Sometimes you gotta do it for the . Our journey was unforgettable - underdogs become...overdogs. Now…,Sun Mar 15 02:44:46 +0000 2020,Pleasant
6,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 02:44:46 +0000 2020,Pleasant
27,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 02:46:05 +0000 2020,Pleasant
42,0,0,1,0,0,0,1,Need Any Kind Of Send A ==================== On Our …,Sun Mar 15 02:47:07 +0000 2020,Pleasant
51,0,0,1,0,0,0,1,: Listen how can help creators during the crisis here -,Sun Mar 15 02:47:28 +0000 2020,Pleasant
73,0,0,1,0,0,0,1,": Just uploaded to my Only Fans, come and join me at ht…",Sun Mar 15 02:49:02 +0000 2020,Pleasant
79,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 02:49:11 +0000 2020,Pleasant
119,0,0,1,0,0,0,1,Lol sorry it was good so I had to.,Sun Mar 15 02:51:23 +0000 2020,Pleasant
137,0,0,1,0,0,0,1,you should check their new album out march,Sun Mar 15 02:52:07 +0000 2020,Pleasant
143,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 02:52:22 +0000 2020,Pleasant
148,0,0,1,0,0,0,1,: Lol sorry it was good so I had to.,Sun Mar 15 02:53:06 +0000 2020,Pleasant
154,0,0,1,0,0,0,1,Turn on our On Our Support us ================…,Sun Mar 15 02:53:20 +0000 2020,Pleasant
177,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 02:54:56 +0000 2020,Pleasant
187,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 02:55:29 +0000 2020,Pleasant
218,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 02:57:00 +0000 2020,Pleasant
233,0,0,1,0,0,0,1,Services- opportunities &amp; priorities,Sun Mar 15 02:57:43 +0000 2020,Pleasant
239,0,0,1,0,0,0,1,How to measure the ROI from your content marketing,Sun Mar 15 02:57:54 +0000 2020,Pleasant
286,0,0,1,0,0,0,1,Serenity …,Sun Mar 15 03:00:21 +0000 2020,Pleasant
318,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:01:37 +0000 2020,Pleasant
327,0,0,1,0,0,0,1,"Google’s John Mueller: ""We Do Not Use W3C Validation in Search Results."" …",Sun Mar 15 03:02:13 +0000 2020,Pleasant
334,0,0,1,0,0,0,1,"The ""... , But With Themselves"" …",Sun Mar 15 03:02:41 +0000 2020,Pleasant
336,0,0,1,0,0,0,1,: DM me to buy,Sun Mar 15 03:02:44 +0000 2020,Pleasant
360,0,0,1,0,0,0,1,Want to buy some hmu,Sun Mar 15 03:03:53 +0000 2020,Pleasant
380,0,0,1,0,0,0,1,What Amazon Advertising’s big advancements will mean for -,Sun Mar 15 03:05:04 +0000 2020,Pleasant
385,0,0,1,0,0,0,1,The Calm Before the Storm Qanon,Sun Mar 15 03:05:16 +0000 2020,Pleasant
388,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:05:32 +0000 2020,Pleasant
391,0,0,1,0,0,0,1,: Burn Your Negative Thoughts in Minutes. …,Sun Mar 15 03:05:41 +0000 2020,Pleasant
394,0,0,1,0,0,0,1,: gm! all . is all over our world show more compassion others! Gear down! …,Sun Mar 15 03:05:47 +0000 2020,Pleasant
420,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:07:12 +0000 2020,Pleasant
429,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:07:59 +0000 2020,Pleasant
438,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:08:47 +0000 2020,Pleasant
443,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:09:13 +0000 2020,Pleasant
451,0,0,1,0,0,0,1,Need Any Kind Of Send A ==================== On Our …,Sun Mar 15 03:09:50 +0000 2020,Pleasant
467,0,0,1,0,0,0,1,: Sometimes you gotta do it for the . Our journey was unforgettable - underdogs become...overdogs. Now…,Sun Mar 15 03:10:26 +0000 2020,Pleasant
488,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:11:21 +0000 2020,Pleasant
523,0,0,1,0,0,0,1,Sometimes the comes easy.,Sun Mar 15 03:13:44 +0000 2020,Pleasant
527,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:13:59 +0000 2020,Pleasant
537,0,0,1,0,0,0,1,Turn on our On Our Support us ================…,Sun Mar 15 03:14:33 +0000 2020,Pleasant
568,0,0,1,0,0,0,1,Discover how the top brands and business create engaging for their blogs. Check out this list of seven di…,Sun Mar 15 03:16:02 +0000 2020,Pleasant
580,0,0,1,0,0,0,1,McDonald's-Owned Dynamic Yield Bridges Online And Offline Purchase Data -,Sun Mar 15 03:17:08 +0000 2020,Pleasant
584,0,0,1,0,0,0,1,Please share for our residents.,Sun Mar 15 03:17:26 +0000 2020,Pleasant
588,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:17:52 +0000 2020,Pleasant
598,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:18:14 +0000 2020,Pleasant
608,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:18:58 +0000 2020,Pleasant
610,0,0,1,0,0,0,1,Mobile First Responsive Design - Learn to create a custom Responsive Web Site within minutes with…,Sun Mar 15 03:18:59 +0000 2020,Pleasant
612,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:19:11 +0000 2020,Pleasant
614,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:19:23 +0000 2020,Pleasant
616,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:19:26 +0000 2020,Pleasant
640,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:20:24 +0000 2020,Pleasant
644,0,0,1,0,0,0,1,We are live on playing video games. Join us as we grow,Sun Mar 15 03:20:28 +0000 2020,Pleasant
653,0,0,1,0,0,0,1,"The top distribution channels you can use to get ,000 visitors to your content today. …",Sun Mar 15 03:21:03 +0000 2020,Pleasant
663,0,0,1,0,0,0,1,"If ESPN is looking for to air, look no further than the Josh Rector Baby Race™️ from December in Tuscaloos…",Sun Mar 15 03:21:32 +0000 2020,Pleasant
718,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:24:24 +0000 2020,Pleasant
719,0,0,1,0,0,0,1,Post Edited: Fed fee lower: Wall Avenue week forward: Buyers hope Fed may help calm,Sun Mar 15 03:24:27 +0000 2020,Pleasant
720,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:24:32 +0000 2020,Pleasant
724,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:24:48 +0000 2020,Pleasant
743,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:26:02 +0000 2020,Pleasant
748,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:26:15 +0000 2020,Pleasant
768,0,0,1,0,0,0,1,: Sometimes you gotta do it for the . Our journey was unforgettable - underdogs become...overdogs. Now…,Sun Mar 15 03:27:59 +0000 2020,Pleasant
769,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:28:00 +0000 2020,Pleasant
791,0,0,1,0,0,0,1,"Lake of The Woods, Oregon …",Sun Mar 15 03:29:10 +0000 2020,Pleasant
805,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:29:59 +0000 2020,Pleasant
813,0,0,1,0,0,0,1,Stressed? Discover truly simple Yoga stretches you can do at home. …,Sun Mar 15 03:30:07 +0000 2020,Pleasant
815,0,0,1,0,0,0,1,How To Use Long Form Content To Skyrocket Your Search Rankings,Sun Mar 15 03:30:09 +0000 2020,Pleasant
818,0,0,1,0,0,0,1,How to Hook Your Audience with Interactive Content via …,Sun Mar 15 03:30:13 +0000 2020,Pleasant
849,0,0,1,0,0,0,1,: Sometimes you gotta do it for the . Our journey was unforgettable - underdogs become...overdogs. Now…,Sun Mar 15 03:32:10 +0000 2020,Pleasant
850,0,0,1,0,0,0,1,y’all don’t understand ive had the sneak peek of wildflower stuck in my head and im so excited for it.,Sun Mar 15 03:32:13 +0000 2020,Pleasant
855,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:32:41 +0000 2020,Pleasant
865,0,0,1,0,0,0,1,"When It Comes to Trends, Know Which Ones to Trust -",Sun Mar 15 03:33:04 +0000 2020,Pleasant
888,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:35:12 +0000 2020,Pleasant
897,0,0,1,0,0,0,1,This song is a superb Antianxiety tune. Be okay? via,Sun Mar 15 03:35:42 +0000 2020,Pleasant
908,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:36:18 +0000 2020,Pleasant
916,0,0,1,0,0,0,1,: Hey! For 🦠 obvious reasons 🦠 we're looking into remote Maraoke! We've got a plan for BUT we urgently need to talk…,Sun Mar 15 03:36:48 +0000 2020,Pleasant
932,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:37:42 +0000 2020,Pleasant
942,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:38:07 +0000 2020,Pleasant
945,0,0,1,0,0,0,1,Periscope that!!!,Sun Mar 15 03:38:19 +0000 2020,Pleasant
952,0,0,1,0,0,0,1,Peace Be With You 🤝🤜🤛,Sun Mar 15 03:38:38 +0000 2020,Pleasant
956,0,0,1,0,0,0,1,: Absolutely in love with these ! I always look forward to my emails for . https:…,Sun Mar 15 03:38:48 +0000 2020,Pleasant
964,0,0,1,0,0,0,1,of and use,Sun Mar 15 03:39:15 +0000 2020,Pleasant
984,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:40:53 +0000 2020,Pleasant
1003,0,0,1,0,0,0,1,: Beautiful nature moment.,Sun Mar 15 03:42:16 +0000 2020,Pleasant
1021,0,0,1,0,0,0,1,": Google’s John Mueller: ""We Do Not Use W3C Validation in Search Results."" …",Sun Mar 15 03:43:19 +0000 2020,Pleasant
1033,0,0,1,0,0,0,1,Watched 'Once Upon A Time In Hollywood'. Great movie. Haven't seen a good flick in awhile.. This one did the trick for me.,Sun Mar 15 03:44:06 +0000 2020,Pleasant
1044,0,0,1,0,0,0,1,: C A L M songs cover art in the style of ' previous single covers!,Sun Mar 15 03:44:43 +0000 2020,Pleasant
1125,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:49:56 +0000 2020,Pleasant
1130,0,0,1,0,0,0,1,: Please share for our residents.,Sun Mar 15 03:50:08 +0000 2020,Pleasant
1143,0,0,1,0,0,0,1,: Sometimes you gotta do it for the . Our journey was unforgettable - underdogs become...overdogs. Now…,Sun Mar 15 03:50:46 +0000 2020,Pleasant
1155,0,0,1,0,0,0,1,": Sending you all , energy during this time--let's remain , &amp; to each other…",Sun Mar 15 03:51:26 +0000 2020,Pleasant
