,Excitement,Happy,Pleasant,Surprise,Fear,Angry,max_value,clean_text,created_at,tweet_id,label
8,0,0,0,1,0,0,1,"When faced with frustration at work, do you lose focus? These tips can help:",Sun Mar 15 02:45:00 +0000 2020,1.23901973853101E+18,Surprise
12,0,0,0,1,0,0,1,: follow me after you retweet so I can reward you with sexy nudes!!,Sun Mar 15 02:45:04 +0000 2020,1.2390197565582E+18,Surprise
78,0,0,0,1,0,0,1,Sleepin | No fucking problems - (lofi hip hop ) …,Sun Mar 15 02:49:08 +0000 2020,1.23902119818663E+18,Surprise
106,0,0,0,1,0,0,1,Biden could not manage a one car funeral,Sun Mar 15 02:50:48 +0000 2020,1.239022269848E+18,Surprise
181,0,0,0,1,0,0,1,: Priceless feeling when your family celebrates your existence .,Sun Mar 15 02:55:03 +0000 2020,1.23902311624601E+18,Surprise
248,0,0,0,1,0,0,1,: i didn’t get a tattoo today,Sun Mar 15 02:58:25 +0000 2020,1.23902344283114E+18,Surprise
274,0,0,0,1,0,0,1,my kuew tiau goreng today is a major failed 🥺,Sun Mar 15 02:59:43 +0000 2020,1.2390237693661E+18,Surprise
304,0,0,0,1,0,0,1,: OK Goodnight feeling Sad 🥺 Thnks to Everyone…,Sun Mar 15 03:01:01 +0000 2020,1.23902398709253E+18,Surprise
321,0,0,0,1,0,0,1,MOOD!,Sun Mar 15 03:01:53 +0000 2020,1.23902424427876E+18,Surprise
340,0,0,0,1,0,0,1,PLEASE air British comedies more often. You'll beg waayyyy too much. Last year promises of new episodes looks to been in vain.,Sun Mar 15 03:02:54 +0000 2020,1.23902436653863E+18,Surprise
352,0,0,0,1,0,0,1,": “Whatever happens, happens”",Sun Mar 15 03:03:23 +0000 2020,1.2390246953426E+18,Surprise
374,0,0,0,1,0,0,1,ARE WE GREAT YET?,Sun Mar 15 03:04:41 +0000 2020,1.23902504052549E+18,Surprise
399,0,0,0,1,0,0,1,: Imagine being a Trump comms guy and giving Biden this much amazing free publicity while showing you’re full of shit.,Sun Mar 15 03:06:04 +0000 2020,1.23902521971883E+18,Surprise
411,0,0,0,1,0,0,1,Honeymoon avenue Wanna go back,Sun Mar 15 03:06:47 +0000 2020,1.23902618983201E+18,Surprise
469,0,0,0,1,0,0,1,progress so far... .,Sun Mar 15 03:10:38 +0000 2020,1.2390266740097E+18,Surprise
505,0,0,0,1,0,0,1,How hard is it to cover your mouth when you are coughing?,Sun Mar 15 03:12:33 +0000 2020,1.23902713386076E+18,Surprise
535,0,0,0,1,0,0,1,"Do you like my photos? Like retweets, please",Sun Mar 15 03:14:23 +0000 2020,1.23902809555154E+18,Surprise
594,0,0,0,1,0,0,1,You’re barely and look this damn old and are this damn dumb???,Sun Mar 15 03:18:12 +0000 2020,1.23902854262264E+18,Surprise
630,0,0,0,1,0,0,1,: Sleepin | No fucking problems - (lofi hip hop ) …,Sun Mar 15 03:19:59 +0000 2020,1.23902855524327E+18,Surprise
634,0,0,0,1,0,0,1,: Sleepin | No fucking problems - (lofi hip hop ) …,Sun Mar 15 03:20:02 +0000 2020,1.23902934580231E+18,Surprise
696,0,0,0,2,0,0,2,I’m so depressed right now. I’m overwhelmingly sad and it’s a lot to handle right now.,Sun Mar 15 03:23:10 +0000 2020,1.23902989005108E+18,Surprise
733,0,0,0,1,0,0,1,seriously tho im about to give this puta the eviction notice because my asthma is not vibing they do not get along,Sun Mar 15 03:25:20 +0000 2020,1.23903029221357E+18,Surprise
755,0,0,0,1,0,0,1,Guns. The answer for small minds with small vocabularies and small futures.,Sun Mar 15 03:26:56 +0000 2020,1.2390305179385E+18,Surprise
765,0,0,0,1,0,0,1,I witnessed people today in large groups acting oblivious to this fact,Sun Mar 15 03:27:50 +0000 2020,1.23903058754279E+18,Surprise
774,0,0,0,1,0,0,1,My bf went home and now I’m BORED AF,Sun Mar 15 03:28:06 +0000 2020,1.23903060926107E+18,Surprise
776,0,0,0,1,0,0,1,You are such a shallow little guy.,Sun Mar 15 03:28:11 +0000 2020,1.23903061010396E+18,Surprise
777,0,0,0,1,0,0,1,But we’re Americans. We’re not smart like Italy,Sun Mar 15 03:28:12 +0000 2020,1.23903111609647E+18,Surprise
816,0,0,0,1,0,0,1,So for CNN!,Sun Mar 15 03:30:12 +0000 2020,1.23903130761678E+18,Surprise
827,0,0,0,1,0,0,1,That’s weeks of my senior year I’ll never get back,Sun Mar 15 03:30:58 +0000 2020,1.23903160517333E+18,Surprise
848,0,0,0,1,0,0,1,: So for CNN!,Sun Mar 15 03:32:09 +0000 2020,1.23903166235851E+18,Surprise
852,0,0,0,1,0,0,1,So I guess we’re not gonna get in K on ?,Sun Mar 15 03:32:23 +0000 2020,1.23903187050508E+18,Surprise
868,0,0,0,1,0,0,1,: Sleepin | No fucking problems - (lofi hip hop ) …,Sun Mar 15 03:33:12 +0000 2020,1.23903262211177E+18,Surprise
905,0,0,0,1,0,0,1,Time to save a tree again with my favorite Tree sprite,Sun Mar 15 03:36:11 +0000 2020,1.23903277946936E+18,Surprise
917,0,0,0,1,0,0,1,"Estoy de luto, Tinky Winky pls get better :’(",Sun Mar 15 03:36:49 +0000 2020,1.23903307983615E+18,Surprise
939,0,0,0,1,0,0,1,what’s up with this whole Corona virus thing? do we have to switch to Dos Equis now?,Sun Mar 15 03:38:01 +0000 2020,1.23903308754949E+18,Surprise
941,0,0,0,1,0,0,1,: And like that in the afternoon,Sun Mar 15 03:38:02 +0000 2020,1.23903416386643E+18,Surprise
1005,0,0,0,1,0,0,1,Neat really helps the progressive movement. Keep dunking.,Sun Mar 15 03:42:19 +0000 2020,1.23903433156308E+18,Surprise
1012,0,0,0,1,0,0,1,"Can anyone help , bitterness eats ones soul . .",Sun Mar 15 03:42:59 +0000 2020,1.23903500195555E+18,Surprise
1018,0,0,0,1,0,0,1,When you got chics hating on you just because you no longer want to be friends with them It’s called growth an…,Sun Mar 15 03:43:13 +0000 2020,1.23903529190352E+18,Surprise
1061,0,0,0,1,0,0,1,: That’s weeks of my senior year I’ll never get back,Sun Mar 15 03:45:39 +0000 2020,1.23903568423469E+18,Surprise
1075,0,0,0,1,0,0,1,"I wish I could go back to parts of my childhood. It wasn’t all bad, I miss the parts that were happy.",Sun Mar 15 03:46:48 +0000 2020,1.23903624608682E+18,Surprise
1098,0,0,0,1,0,0,1,: So for CNN!,Sun Mar 15 03:48:21 +0000 2020,1.23903657318366E+18,Surprise
1140,0,0,0,1,0,0,1,//TW BLOOD// . “Not everything lasts forever” .,Sun Mar 15 03:50:35 +0000 2020,1.23903766155124E+18,Surprise
1169,0,0,0,1,0,0,1,: //TW BLOOD// . “Not everything lasts forever” .,Sun Mar 15 03:51:53 +0000 2020,1.23903887955608E+18,Surprise
1250,0,0,0,1,0,0,1,Here you come lady. !,Sun Mar 15 03:56:13 +0000 2020,1.23903923849191E+18,Surprise
1313,0,0,0,1,0,0,1,the is pathetic liar and spreader of hate. the will be remembered as the worst lead…,Sun Mar 15 04:00:19 +0000 2020,1.23903934667142E+18,Surprise
1346,0,0,0,1,0,0,1,currently upset that im not elon musks baby momma,Sun Mar 15 04:01:03 +0000 2020,1.23903999310605E+18,Surprise
1372,0,0,0,1,0,0,1,"AH &amp; the Left oblige me, as usual , the Left are just so F-N predictable nowadays. .",Sun Mar 15 04:02:29 +0000 2020,1.23904059426732E+18,Surprise
1381,0,0,0,1,0,0,1,"No sports, no till April rd!! I’ll miss you . Enjoy the break",Sun Mar 15 04:02:55 +0000 2020,1.23904090178931E+18,Surprise
1431,0,0,0,1,0,0,1,Great read about the corporate fleecing of Americans.,Sun Mar 15 04:05:29 +0000 2020,1.23904169557831E+18,Surprise
1467,0,0,0,1,0,0,1,it’s - it’s big sad hours,Sun Mar 15 04:07:52 +0000 2020,1.239041711978E+18,Surprise
1484,0,0,0,1,0,0,1,I ran the White House pandemic office. closed it.,Sun Mar 15 04:09:05 +0000 2020,1.23904247590321E+18,Surprise
1525,0,0,0,1,0,0,1,It makes me so sad and that none of my family wants to help me even though I would pay them back. Please…,Sun Mar 15 04:11:52 +0000 2020,1.23904258736261E+18,Surprise
1531,0,0,0,1,0,0,1,It’s painfully obvious you’ve never been to Canada.....nor even met a Canadian.,Sun Mar 15 04:12:15 +0000 2020,1.23904265540282E+18,Surprise
1532,0,0,0,1,0,0,1,i wish someone i knew could drive like why do i have friends that can fucking pick me up it’s,Sun Mar 15 04:12:19 +0000 2020,1.2390432603389E+18,Surprise
1576,0,0,0,1,0,0,1,You’re a horrible person.,Sun Mar 15 04:15:21 +0000 2020,1.23904330735279E+18,Surprise
1584,0,0,0,1,0,0,1,"Aw, is that the best you can do?",Sun Mar 15 04:15:47 +0000 2020,1.23904395338874E+18,Surprise
1589,0,0,0,1,0,0,1,"Fuck all the good looking peng people out there, I’m already insecure as it is and just feel like I’m never enough🥺",Sun Mar 15 04:16:04 +0000 2020,1.23904425989589E+18,Surprise
1630,0,0,0,1,0,0,1,"Caress my body with your lips gliding, kiss me boldly - I'm only yours",Sun Mar 15 04:18:28 +0000 2020,1.23904433661406E+18,Surprise
1632,0,0,0,1,0,0,1,I love to caress my pussy in the morning,Sun Mar 15 04:18:39 +0000 2020,1.23904819206028E+18,Surprise
1635,0,0,0,2,0,0,2,I give up guess .. I'll never get better makes me so and I dont know where else to turn. Knowing I'…,Sun Mar 15 04:18:50 +0000 2020,1.23904836432453E+18,Surprise
1674,0,0,0,1,0,0,1,that I’m back in the US and my twitter news is in English again. I really enjoyed not understanding what was going on.,Sun Mar 15 04:21:13 +0000 2020,1.23904862044949E+18,Surprise
1704,0,0,0,1,0,0,1,: So very . frequently mistake small pieces of waste for food. As their stomachs fill with plastic that is…,Sun Mar 15 04:22:26 +0000 2020,1.23904918232704E+18,Surprise
1709,0,0,0,1,0,0,1,I SURPRISED MY BEST FRIEND WITH HIS DREAM CAR ️️️,Sun Mar 15 04:22:44 +0000 2020,1.23904956181499E+18,Surprise
1852,0,0,0,1,0,0,1,'s Kings Crossing Bu…,Sun Mar 15 04:32:01 +0000 2020,1.23905023521479E+18,Surprise
1874,0,0,0,1,0,0,1,come see more of these two on .com …,Sun Mar 15 04:33:12 +0000 2020,1.23905055227895E+18,Surprise
1956,0,0,0,1,0,0,1,Your dick would look better between my ass chicks !,Sun Mar 15 04:38:04 +0000 2020,1.23905155858883E+18,Surprise
1968,0,0,0,2,1,0,2,: -𝙳𝚘𝚗'𝚝 𝚐𝚒𝚟𝚎 𝚞𝚙 . . . . . . . -𝙲𝚛𝚎𝚍𝚒𝚝𝚜 𝚏𝚘𝚛: x.sad.mts |𝙾𝚗 𝙸𝚐. . . . . ht…,Sun Mar 15 04:38:45 +0000 2020,1.23905205893172E+18,Surprise
1988,0,0,0,1,0,0,1,: Your ideas deserve better 'space'. …,Sun Mar 15 04:39:46 +0000 2020,1.23905277512589E+18,Surprise
2023,0,0,0,1,0,0,1,"I miss sports, please come back",Sun Mar 15 04:42:00 +0000 2020,1.2390533289795E+18,Surprise
